,Name,Academic (1),Affiliations
15580,ilya gikhman,0, 
15581,urban gråsjö,0,(50%) centre of excellence for science and innovation studies kungliga tekniska högskolan (kth)
15582,dana galizia,1,department of economics carleton university
15583,joan gil,1,center for economic analysis and social policies (caeps) faculty of economics and business university of barcelona
15584,tobias grasl,0,department of economics
15585,matteo m galizzi,1,(49%) department of social policy london school of economics (lse)
15586,luciana de araujo gil,1,college of economics and business university diego portals
15587,raoul grasman,1,university of amsterdam (university of amsterdam)
15588,thomas gall,1,economics division university of southampton
15589,pedro mazeda gil,1,(50%) college of economics university of the port
15590,verena grass,0,diw berlin (german institute for economic research)
15591,marcos gallacher,1,university of cema
15592,ricard gil,1,carey business school johns hopkins university
15593,mara grasseni,1,faculty of economics university of bergamo studies
15594,david r. gallagher,1,finance discipline group business school university of technology sydney
15595,luis alberiko gil-alana,1,(50%) faculty of economic and business sciences university of navarra
15596,basile grassi,1,(50%) department of economics oxford university
15597,emer marie gallagher,1,department of business and enterprise ulster business school university of ulster
15598,muriel gilardone,0,(50%) condorcet center for political economy research center in economics and management (crem)
15599,emanuele grassi,1,department of science economics faculty of economics university of salento
15600,emily gallagher,1,center of economy of the sorbonne university paris 1 (pantheon-sorbonne)
15601,javier gil-bazo,1,(50%) department of economics and business university pompeu fabra barcelona graduate school of economics (barcelona gse)
15602,simona grassi,1,faculty of business and economics (hec) university of lausanne
15603,kevin p. gallagher,0, 
15604,aaron gilbert,1,department of finance faculty of business auckland university of technology
15605,stefano grassi,1,"department of economics and finance faculty of economics university of roma studies ""tor vergata"""
15606,liam a. gallagher,1,business school dublin city university
15607,benjamin travis gilbert,1,(50%) department of economics and finance college of business university of wyoming
15608,laura grassini,0,polytechnic of bari
15609,mark gallagher,0,(32%) united states agency for international development (usaid) government of the united states
15610,evan gilbert,1,department of economics fakulteit ekonomies en bestuurswetenskappe university of stellenbosch
15611,laura grassini,0,statistics department
15612,ryan m gallagher,1,department of economics northeastern illinois university
15613,john gilbert,1,department of economics and finance jon m. huntsman school of business utah state university
15614,alessandro giovanni grasso,1,"center for banking and finance (cef) economics department ""marco biagi"" university of modena and reggio emilia"
15615,nicola gallai,0,laboratory for studies and research on economics
15616,niels d. gilbert,0,de nederlandsche bank
15617,"carlos manuel gratereaux hernández, sr.",1,(61%) autonomous university of santo domingo (authonomous university of santo domingo)
15618,georges gallais-hamonno,0,orleans economic laboratory (leo) faculty of law
15619,r. alton gilbert,0,research division federal reserve bank of st. louis
15620,gabriele gratton,1,school of economics and business school unsw (australia)
15621,mohamed imen gallali,1,business school of tunis university of la manouba
15622,richard j. gilbert,1,department of economics university of california-berkeley
15623,pilar grau,1,department of applied economics and university king juan carlos
15624,a. ronald gallant,1,department of economics pennsylvania state university
15625,itzhak gilboa,1,(50%) eitan berglas school of economics tel aviv university
15626,"manfred grautoff, sr.",1,school of economics
15627,josé gallardo,1,department of economy pontificia catholic university of peru
15628,donald a. gilchrist,1,department of economics university of saskatchewan
15629,barbara susanne grave,0,statistics and analyzes founder's association for german science
15630,mauricio gallardo,1,business school north catholic university
15631,simon gilchrist,1,department of economics boston university
15632,nicolas gravel,1,aix-marseille school of economics (amse)
15633,natalia gallardo,0,central bank of chile
15634,david giles,1,department of economics university of victoria
15635,hugh gravelle,1,centre for health economics department of economics and related studies university of york
15636,r. karina gallardo,1,school of economic sciences washington state university
15637,john giles,0,(95%) economics research world bank group
15638,jane g. gravelle,0,congressional research service united states congress government of the united states
15639,daniel gallardo-albarrán,1,faculty of economics and business administration university of groningen
15640,margaret giles,0, 
15641,toni r. gravelle,0,(34%) bank of canada
15642,maría de las viñas gallardo ramiro,1,department of financial economics and accounting faculty of economic and business sciences university of valladolid
15643,maría gil-izquierdo,1,faculty of economic and business sciences autonomous university of madrid
15644,ebbe krogh graversen,1,danish center for research analysis (cfa) aarhus university
15645,m. carmen gallastegui,1,department of fundamentals of economic analysis and faculty of economic and business sciences university of the basque country - euskal herriko unibertsitatea
15646,david gill,1,(99%) department of economics krannert school of management purdue university
15647,christina gravert,1,"university of gothenburg, gothenburg university"
15648,delphine gallaud,0,center of economics and sociology applied to agriculture and rural areas (cesaer) department social sciences
15649,mudabbir gill,0, 
15650,philip e. graves,1,department of economics university of colorado
15651,simon galle,1,department of economics at business school
15652,ana isabel gil-lacruz,1,university of zaragoza
15653,joanna gravier-rymaszewska,1,"world institute for development economic research (unu/wider) 
united nations university"
15654,marco gallegati,1,"department of economics and social sciences faculty of economy ""giorgio fuà"" polytechnic university of brands"
15655,robert gillanders,1,(95%) business school dublin city university
15656,nathan d. grawe,1,economics department carleton college
15657,mauro gallegati,1,"department of management faculty of economics ""giorgio fuà"" polytechnic university of the brands"
15658,belen gill-de-albornoz,0,valencian institute of economic research (ivie)
15659,alastair gray,1,health economics research centre (herc) oxford university
15660,domingo gallego,1,department of structure and economic history and public economy faculty of economics and business university of zaragoza
15661,véronique gille,1,house of the economic sciences university paris 1 (pantheon-sorbonne)
15662,allan wayne gray,1,department of agricultural economics purdue university
15663,francisco a. gallego,1,(70%) institute of economics faculty of economic and administrative science pontifical catholic university of chile
15664,jose mauricio gil leon,1,school of economics
15665,colin gray,0,national bureau of economic research (nber)
15666,gisselle gallego,0, 
15667,enrique gilles,0,faculty of administration
15668,david gray,1,lincoln economics and finance (leaf) lincoln business school university of lincoln
15669,jorge gallego,1,department of economic analysis: economic theory and economic history faculty of economic and business sciences autonomous university of madrid
15670,fabrice gilles,0,(90%) lille economy and management (lem)
15671,david m. gray,1,department of economics / department of economics university of ottawa / university of ottawa
15672,jorge a. gallego,1,new york university
15673,donna gilleskie,1,department of economics university of north carolina-chapel-hill
15674,jo anna gray,1,department of economics university of oregon
15675,juan miguel gallego,1,(95%) faculty of economics university of the rosary
15676,jeffrey morris gillespie,0,economic research service department of agriculture government of the united states
15677,matthew cameron gray,1,centre for aboriginal economic policy research (caepr) college of arts and social sciences australian national university
15678,maria e gallego,1,department of economics school of business and economics wilfrid laurier university
15679,stuart r. gillespie,0,international food policy research institute (ifpri)
15680,rowena gray,1,economics and management university of california-merced
15681,oscar david gallego,1,department of economics university of sheffield
15682,joris gillet,1,department of economics business school middlesex university
15683,virginia gray,1,"economics department 
stony brook university - suny"
15684,nuria gallego-lopez,1,risklab madrid faculty of economic and business sciences autonomous university of madrid
15685,roland gillet,1,(80%) university paris1 pantheon sorbonne
15686,wayne b. gray,1,(99%) economics department clark university
15687,sebastian gallegos,1,(95%) industrial relations section department of economics princeton university
15688,rob gillezeau,1,department of economics university of victoria
15689,wesley r. gray,1,booth school of business university of chicago
15690,craig a. gallet,0,department of economics california state university-sacramento
15691,frederic gilli,0,universite paris i / umr geography-cities
15692,fabio grazi,0,(80%) french development agency government of france
15693,sergio galletta,1,(50%) political economy institute (idep) faculty of economic science university of italian switzerland (uses)
15694,manfred gilli,1,geneva school of economics and management université de genève
15695,clara graziano,1,department of economic sciences and statistics faculty of economics university of udine studies
15696,vittorio galletto,1,barcelona regional and metropolitan studies institute (iermb) autonomous university of barcelona
15697,marianna gilli,1,(50%) department of economics and management university of ferrara studies
15698,marcello graziano,0,(90%) department of ecology
15699,jacques gallezot,0, 
15700,mario gilli,0,economy department
15701,maria gabriella graziano,0,economics and finance center (csef)
15702,alain galli,0,(99%) schweizerische nationalbank (snb)
15703,gilbert-rainer gillich,1,"university ""eftimie murgu"" resita"
15704,marco grazzi,1,department of economics alma mater studiorum - bologna university
15705,emma galli,1,"department of social and economic sciences ""wisdom"" university of roma"
15706,philippe gillig,0,theoretical and applied economics bureau (beta)
15707,matteo grazzi,0,inter-american development bank
15708,fausto galli,1,(50%) department of economics and statistics (dises) university of salerno studies
15709,daniel o. gilligan,0,international food policy research institute (ifpri)
15710,jakob grazzini,1,department of economics and finance departments and institutes of economic sciences catholic university of the sacred heart
15711,silvia galli,1,research community for national economy school of economics and political science university st. bile
15712,kenneth thomas gillingham,1,(34%) yale university
15713,lisa grazzini,1,department of economics and business university of florence studies
15714,danielle galliano,0,department of rural economics and sociology (department of rural economics and sociology) department of social sciences
15715,robert gillingham,0, 
15716,mads greaker,0,"statistisk sentralbyrå (statistics norway) 
government of norway"
15717,andrea gallice,1,(50%) department of economics-social sciences and mathematical-statistics university of turin studies
15718,magali gilliot,0,bank of france
15719,eoin grealis,1,(50%) department of economics national university of ireland
15720,emilie-pauline gallié,1,institute for the management of research and innovation (imri) paris-dauphine university (paris ix)
15721,s. malcolm gillis,0, 
15722,theresa m. greaney,1,department of economics university of hawaii-manoa
15723,arianna galliera,0,department of polytechnic management in milan
15724,max gillman,1,(97%) department of economics university of missouri-st. louis
15725,ellen greaves,0,esrc centre for the microeconomic analysis of public policy (cpp) institute for fiscal studies (ifs)
15726,nancy theresa gallini,1,vancouver school of economics university of british columbia
15727,michelle gilmartin,1,economics division stirling management school university of stirling
15728,tim grebe,0,interval gmbh
15729,giovanni gallipoli,1,vancouver school of economics university of british columbia
15730,maria jose gil molto,1,department of economics university of sheffield
15731,thomas grebel,1,institute for economic economics faculty of economics university of technology ilmenau
15732,"jose luis gallizo, sr.",1,department of business administration and economic management of natural resources university of lleida
15733,vadim gilmundinov,0,(47%) institute of economics and industrial engineering siberian branch russian academy of sciences (ras)
15734,petr grebennikov,1,research university higher school of economics (hinging school of economics - national research university)
15735,michael f. gallmeyer,1,mcintire school of commerce university of virginia
15736,salvador gil-pareja,1,department of economic structure faculty of economy university of valencia
15737,carola grebitus,1,w.p. carey school of business arizona state university
15738,andres gallo,1,department of economics and geography university of north florida
15739,scott m. gilpatric,1,"department of economics 
college of business 
university of tennessee-knoxville"
15740,leonid s. grebnev,1,centre for advanced studies national research university higher school of economics
15741,angela gallo,0,(50%) department of business studies and research
15742,bernard michael gilroy,1,department of economic studies department of economic sciences university of paderborn
15743,aaron george grech,0,(75%) bank centrali ta 'malta
15744,crescenzio gallo,0,department of economics
15745,andrew r. gimber,0,bank of england
15746,daryna grechyna,1,department of economics business school middlesex university
15747,fredrik gallo,0, 
15748,eduardo l. giménez,1,(50%) department of foundations of economic analysis and history and economic institutions faculty of economics and business sciences university of vigo
15749,luciano g. greco,1,"department of economics ""marco do"" university of padova studies"
15750,giampiero m. gallo,0,(90%) statistical department
15751,gregorio giménez,1,faculty of economics and business university of zaragoza
15752,salvatore greco,1,(50%) department of economics and enterprise university of catania studies
15753,mariano gallo,0,engineering department
15754,josé-manuel giménez-gómez,0,(50%) department of economics faculty of economics and business universities rovira i virgili tarragona
15755,eugenia grecu,1,faculty of management in production and transport polytechnic university of timisoara
15756,raffaele gallo,1,department of business sciences university of calabria
15757,jose ignacio gimenez-nadal,1,faculty of economics and business university of zaragoza
15758,alan green,0, 
15759,william t. gallo,1,division of health policy and administration school of public health yale university
15760,gabriel a. giménez roche,0,(50%) group esc troyes
15761,christopher j. green,1,school of business and economics loughborough university
15762,faïz gallouj,1,lille center for economic and sociological studies and research (clerse) faculty of economics and social sciences university of science and technology of lille (lille 1)
15763,ricardo gimeno,0,bank of spain
15764,colin p. green,1,department of economics management school lancaster university
15765,taryn ann galloway,0,statistisk sentralbyrå government of norway
15766,vladimir gimpelson,1,centre for labour market studies national research university higher school of economics
15767,david a. green,1,vancouver school of economics university of british columbia
15768,stefano galluccio,0, 
15769,marina gindelsky,1,department of economics george washington university
15770,edward green,1,department of economics pennsylvania state university
15771,jesus gallurt povedano,1,etea foundation for development and cooperation university loyola andalusia
15772,david gindis,0, 
15773,francis green,0,centre for learning and life chances in knowledge economies and societies (llakes) institute of education
15774,nicola galluzzo,0, 
15775,thomas (tim) h. gindling,0,institute of labor economics (iza)
15776,jerry green,1,department of economics harvard university
15777,esther gal-or,1,katz graduate school of business university of pittsburgh
15778,xavier gine,0,(90%) economics research world bank group
15779,kenneth p. green,0,frontier center for public policy
15780,oded galor,1,economics department brown university
15781,fernando giner de la fuente,1,school of economics
15782,kesten charles green,1,(50%) ehrenberg-bass institute for marketing science school of marketing business school university of south australia
15783,simone galperti,1,department of economics university of california-san diego (ucsd)
15784,miguel gines-vilar,1,department of economics (economics department) jaume and university (jaume and university)
15785,mitchell ray green,0, 
15786,george c. galster,1,college of urban
15787,edith ginglinger,1,research center on management (cereg) dauphine research in management (drm) university paris-dauphine (paris ix)
15788,richard c. green,0, 
15789,vahagn galstyan,1,department of economics trinity college dublin
15790,rita ginja,0,national economics institution uppsala universitet
15791,richard john green,1,business school imperial college
15792,franck galtier,0,center for international cooperation in agricultural research for development (cirad)
15793,marissa louise ginn,0,the analysis group
15794,richard green,1,lusk center for real estate marshall school of business university of southern california
15795,kamil galuscak,0,czech national bank
15796,william ginn,0, 
15797,rikard william artur green,0,nationalekonomiska institutionen ekonomihögskolan lunds universitet
15798,marco galvagno,1,department of economics and enterprise university of catania studies
15799,victor a. ginsburgh,0,(75%) european center for advanced research in economics and statistics (ecares) solvay brussels
15800,william b. green,1,"gibson d. lewis center for business and economic research 
college of business administration 
sam houston state university"
15801,valentina galvani,1,department of economics university of alberta
15802,herbert gintis,0,(80%) santa fe institute
15803,michael greenacre,1,(50%) barcelona graduate school of economics (barcelona gse)
15804,ana beatriz galvão,1,economic modelling and forecasting group warwick business school university of warwick
15805,nicola giocoli,1,pisa university - law department (university of pisa - department of law)
15806,nathalie greenan,0,(50%) center for employment studies (cee)
15807,catalina gálvez gálvez,1,department of applied economics and faculty of economic and business sciences university of the basque country - euskal herriko unibertsitatea
15808,alessandro gioffré,0,research center safe (sustainable architecture for finance in europe) house of finance goethe universität frankfurt am main
15809,sir david greenaway,1,nottingham centre for research on globalisation and economic policy school of economics university of nottingham
15810,gabriel galvez-behar,1,university of charles-de-gaulle (lille 3)
15811,maela giofre',1,"(74%) department of economics and statistics ""cognetti de martiis"" university of turin studies"
15812,ryan greenaway-mcgrevy,1,department of economics business school university of auckland
15813,luis armando galvis-aponte,1,(34%) regional economics applications laboratory (real) university of illinois at urbana-champaign
15814,francesca gioia,1,(60%) school of economics university of edinburgh
15815,adam eric greenberg,1,anderson graduate school of management university of california-los angeles (ucla)
15816,"juan camilo galvis ciro, sr.",1,(80%) faculty of economics pontifical bolivarian university
15817,eugenio pedro giolito,1,ilades faculty of economics and business university alberto hurtado
15818,david h. greenberg,1,economics department university of maryland-baltimore county
15819,michel andré galy,0, 
15820,germana giombini,1,faculty of economics university of urbino studies
15821,edward greenberg,0, 
15822,sébastien galy,0, 
15823,nicola giommetti,1,department of finance mccombs school of business university of texas-austin
15824,seth greenblatt,0, 
15825,ruslan ramilevich galyautdinov,1,izhevsk state technical university named after. kalashnikov (kalashnikov izhevsk state technical university)
15826,gastón andrés giordana,0,central bank of luxembourg
15827,catherine rebecca greene,0,economic research service department of agriculture government of the united states
15828,adriana gama,0,economic studies center colegio de mexico
15829,paolo giordani,0,swedish national bank
15830,claire greene,0,economic research federal reserve bank of boston
15831,ana paula matias gama,1,core of studies in business sciences (nece) department of management and economics university of interior border
15832,paolo e. giordani,1,department of economics and finance (def) frees international university of social studies guido carli (luiss)
15833,william h greene,1,economics department stern school of business new york university (nyu)
15834,jose r. gamarra,0,center of regional economic studies (ceer) bank of the republic of colombia
15835,claire giordano,0,bank of italy
15836,christine anne greenhalgh,1,department of economics oxford university
15837,andrea gamba,0,international monetary fund (imf)
15838,géraldine giordano,0,joint market research unit
15839,nadia greenhalgh-stanley,1,department of economics college of business administration kent state university
15840,andrea gamba,1,finance group warwick business school university of warwick
15841,luca giordano,0,italian stock exchange commission
15842,lorna a. greening,0, 
15843,astrid gamba,0,economy department
15844,raffaela giordano,0,bank of italy
15845,jennifer victoria greenslade,0,bank of england
15846,santiago gamba,0,bank of the republic of colombia
15847,giovanni maria giorgi,1,"university of roma ""wisdom"" - statistical department"
15848,alan greenspan,0, 
15849,simona gamba,0,institute for public evaluation research (irvapp) foundation bruno kessler
15850,lorenzo giorgianni,0,international monetary fund (imf)
15851,joshua greenstein,0,department of economics hobart and william smith colleges
15852,leonardo gambacorta,0,bank for international settlements (bis)
15853,gianluigi giorgioni,1,management school university of liverpool
15854,shane mitchell greenstein,1,harvard business school harvard university
15855,romina gambacorta,0,bank of italy
15856,claude giorno,0,organization for economic co-operation and development (oecd)
15857,michael greenstone,1,department of economics university of chicago
15858,marco gambaro,0,economy department
15859,alessandro giosi,1,"department of management and faculty of economics university of roma studies ""ver vergata"""
15860,jeremy greenwood,1,department of economics university of pennsylvania
15861,francesca gambarotto,1,"department of economics ""marco do"" university of padova studies"
15862,pierre giot,1,center for operations research and econometrics (core) school of economics of louvain (economics school of louvain) catholic university of louvain (louvain-la-neuve)
15863,matthew greenwood-nimmo,1,department of economics faculty of business and economics university of melbourne
15864,gerardo fujii gambero,1,division of postgraduate studies (depfe) faculty of economics autonomous national university of mexico
15865,georgios giotis,1,department of economics university of ioannina
15866,birgitte gregersen,1,ike group institute of economics and management aalborg university
15867,elisa gamberoni,0,international economics section the graduate institute of international and development studies
15868,ioannis giotopoulos,1,department of economics university of peloponnese
15869,amanda grace gregg,1,department of economics middlebury college
15870,luca gambetti,1,economic department and economic history autonomous university of barcelona barcelona graduate school of economics (barcelona gse)
15871,evangelos giouvris,1,school of management royal holloway
15872,daniel gregg,1,centre for global food and resources university of adelaide
15873,lynn gambin,1,(99%) university of warwick
15874,rafael rangel giovanini,1,federal university of minas gerais / institute of geosciences
15875,matthew t. gregg,1,school of business roger williams university
15876,alessandro gambini,1,"(25%) faculty of economics ""giorgio fuà"" polytechnic university of the brands"
15877,eleftherios giovanis,1,(90%) faculty of economics university of verona studies
15878,paul gregg,1,(40%) department of social and policy studies university of bath
15879,luis fernando gamboa,0, 
15880,alessandro giovannelli,1,"department of economics and finance faculty of economics university of roma studies ""tor vergata"""
15881,stéphane m. gregoir,1,toulouse school of economics (tse)
15882,juliana gamboa-arbelaez,0,bank of the republic of colombia
15883,andrea giovannetti,0, 
15884,martin gregor,1,institute of economic studies charles university in prague
15885,fredy gamboa-estrada,0,bank of the republic of colombia
15886,bruno cara giovannetti,1,school of economics of são paulo (eesp) foundation getulio vargas (fgv)
15887,wildmer daniel gregori,0,joint research center european commission
15888,claude gamel,1,laboratory of economics and labor sociology (lest) faculty of economics university of aix-marseille amu
15889,emanuele giovannetti,1,institute for international management practice ashcroft international business school anglia ruskin university
15890,andros gregoriou,1,department of economics and finance brunel university
15891,carlos gamero-burón,1,department of statistics and econometrics faculty of economic and business sciences university of malaga
15892,giorgia giovannetti,1,(50%) department of economics and business university of florence studies
15893,allan w. gregory,1,economics department queen's university
15894,leyla ayvarovna gamidullaeva,0, 
15895,alessandro giovannini,0,european central bank
15896,christian a. gregory,0,economic research service department of agriculture government of the united states
15897,sarah gammage,0, 
15898,enrico giovannini,1,"department of economics and finance faculty of economics university of roma studies ""tor vergata"""
15899,mary gregory,1,department of economics oxford university
15900,robert gampfer,0,joint research center european commission
15901,massimo giovannini,0,joint research center european commission
15902,robert george gregory,1,research school of economics college of business and economics australian national university
15903,valeriy v. gamukin,1,finance and economics institute tyumen state university
15904,francesco giovannoni,1,(25%) centre for market and public organisation (cmpo) school of economics
15905,terry gregory,0,center for european economic research (zew)
15906,jie gan,1,cheung kong graduate school of business
15907,olivier g. giovannoni,1,(50%) economics program bard college
15908,ian gregory-smith,1,department of economics university of sheffield
15909,junwu gan,0, 
15910,daniele giovannucci,0,committee on sustainability assessment
15911,avner greif,1,department of economics stanford university
15912,li gan,1,department of economics texas a&m university
15913,silvio giove,1,applied mathematics department (department of applied mathematics) university ca 'foscari venezia (university ca' foscari venice)
15914,matthias greiff,1,institute of economics science university of applied sciences clausthal
15915,pei-tha gan,1,faculty management and economics university education sultan idris (upsi)
15916,liudas giraitis,1,school of economics and finance queen mary university of london
15917,ben greiner,0,(94%) department of strategy and innovation wu wirtschaftsuniversität wien
15918,marjène rabah gana,1,higher institute of commerce and accounting of bizerte (isccb) university of carthage
15919,andres giraldo,1,(99%) faculty of economic and administrative sciences pontificia university javeriana
15920,jenny grek,0,(50%) department of economics
15921,sharat ganapati,1,economics department yale university
15922,anna giraldo,0,department of statistical sciences
15923,carl grekou,1,economix university paris west-nanterre defense (paris x)
15924,maja ganarin wallmer,0,schweizerische nationalbank (snb)
15925,"carlos andres giraldo, sr.",0,latin american reserve fund (flar)
15926,veronica grembi,0,department of jurisprudence and economics universities of mediterranean studies in reggio calabria
15927,ioannis s. ganas,0,department of accounting-finance technological educational institute of epirus
15928,iader giraldo,1,faculty of economics university of the rosary
15929,ing-marie gren,1,department of economics sweden's agricultural university
15930,roberto ganau,1,"(85%) department of economics ""marco do"" university of padova studies"
15931,luca giraldo,1,department of agroforestry economy and rural environment university of tuscia studies
15932,kari grenade,0,caribbean development bank
15933,alexander petrov ganchev,0,d. a. tsenov academy of economics
15934,dimitris giraleas,1,aston business school aston university
15935,marian grendar,0, 
15936,gino gancia,1,(50%) research center in international economics (believe) barcelona graduate school of economics (barcelona gse)
15937,bernard girard,0,uqam - chair of social responsibility and sustainable development
15938,julien grenet,1,paris school of economics
15939,neil gandal,1,eitan berglas school of economics tel aviv university
15940,alessandro girardi,0,national statistics institute (istat)
15941,gilles grenier,1,department of economics / department of economics university of ottawa / university of ottawa
15942,nadiya gandali alikhani,0,دانشگاه آزاد اسلامي one science and research khuzestan (khouzestan science and research branch)
15943,daniele girardi,1,department of economics university of massachusetts-amherst
15944,thomas grennes,1,department of agricultural and resource economics north carolina state university
15945,nestor gandelman,1,faculty of administration and social sciences university ort uruguay
15946,riccardo girardi,0,joint research center european commission
15947,francesca greselin,1,department of quantitative methods for economics and business economics and statistics school of economics and statistics university of milan-bicocca studies
15948,philip t. ganderton,1,department of economics university of new mexico
15949,eric girardin,1,aix-marseille school of economics (amse)
15950,thomas a. gresik,1,department of economics university of notre dame
15951,priyank gandhi,1,anderson graduate school of management university of california-los angeles (ucla)
15952,claudia girardone,1,essex business school university of essex
15953,christopher gresse,0,institute of business administration faculty faculty of economics and social sciences universität hohenheim
15954,sahil gandhi,1,department of economics university of mumbai
15955,gaël giraud,0,scientific research national center
15956,michal greszta,1,"faculty of economics, warsaw university"
15957,afschin gandjour,1,frankfurt school of finance and management
15958,raphaël giraud,1,laboratory of dionysian economy (led) university paris-saint-denis (paris viii)
15959,alexei gretchikha,0, 
15960,giancarlo gandolfo,0,(50%) cesifo
15961,yann giraud,0,economic theory
15962,harald grethe,0,institute for agronomy and agriculture apprenticeship faculty of agriculture faculty of agriculture universität hohenheim
15963,christopher gandrud,1,hertie school of governance
15964,louis-gaëtan marc giraudet,0,international center for research on environment and development (cired)
15965,david m. grether,0,(50%) division of social sciences california institute of technology
15966,luca gandullia,1,section of economics and finance (dept.) department of economics university of genova studies
15967,eric giraud-héraud,0,food and social sciences (aliss) (nutrition and social sciences) department of social sciences
15968,jean-marie grether,1,institute of economic research (irene) faculty of economics (fse) university of neuchâtel
15969,giovanni ganelli,0,international monetary fund (imf)
15970,šarūnas girdėnas,1,department of economics business school university of exeter
15971,richard t. gretz,1,department of economics foster college of business administration bradley university
15972,anand ganesh-kumar,0,indira gandhi institute of development research (igidr)
15973,jean-françois giret,1,research institute on education: sociology and economics of education (iredu) university of burgundy
15974,victor greu,0, 
15975,georgy ganev,1,faculty of economics and business administration sofia university st. kliment ohridski
15976,federico giri,1,"department of economics and social sciences faculty of economy ""giorgio fuà"" polytechnic university of brands"
15977,angela greulich,1,center of economy of the sorbonne university paris 1 (pantheon-sorbonne)
15978,kaloyan ganev,1,faculty of economics and business administration sofia university st. kliment ohridski
15979,rahul giri,0,center of economic research (cie) academic department of economics instituto tecnólogico autónomo de mexico (itam)
15980,lydia greunz,1,department of applied economics (dulbea) solvay brussels university of brussels
15981,ira gang,0,(92%) department of economics rutgers university-new brunswick
15982,ayca ebru giritligil,1,(90%) information economics lab of istanbul (belis) murat sertel advanced economic research center istanbul information university
15983,fernando greve,0,ministries of economy and energy government of chile
15984,jianhua gang,1,school of finance renmin university of china
15985,sourafel girma,1,(90%) school of economics university of nottingham
15986,jane greve,0,national institute of municipalities and regions analysis and research (kora)
15987,lata gangadharan,1,department of economics monash business school monash university
15988,guillaume girmens,1,university toulouse 1
15989,thomas greve,1,faculty of economics university of cambridge
15990,amynah gangji,1,department of applied economics (dulbea) solvay brussels university of brussels
15991,adriana girneata,0,faculty of management academy of economic studies in bucharest
15992,talita greyling,1,faculty of economic and financial sciences university of johannesburg
15993,bernhard ganglmair,1,(98%) area of finance and managerial economics naveen jindal school of management university of texas-dallas
15994,audrius girnius,0,advanced analytical consulting group
15995,ольга михайловна грибанова,0,institute of economics russian academy of sciences (ras)
15996,byron scott gangnes,1,(75%) department of economics university of hawaii-manoa
15997,alexandra girod,0,law research group
15998,wolf-heimo grieben,0,institute of economics and population economics faculty of economics martin-luther-university hall
15999,kausik gangopadhyay,0,indian institute of management
16000,luís eduardo girón,1,research group on regional development (gidr) faculty of economic and administrative sciences pontificia university javeriana
16001,daniela grieco,1,"department of economics ""ettore bocconi"" business university luigi bocconi"
16002,partha gangopadhyay,1,school of business university of western sydney
16003,nathalie girouard,0,economics department organization for economic co-operation and development (oecd)
16004,manuel grieder,1,faculty of business and economics (hec) university of lausanne
16005,ina ganguli,1,(99%) department of economics university of massachusetts-amherst
16006,esther mirjam girsberger,1,(95%) department of econometrics and political economy (deep) faculty of business and commerce (hec) university of lausanne
16007,kevin grier,1,department of economics university of oklahoma
16008,jayant vivek ganguli,1,economics department university of essex
16009,ana gisbert,1,faculty of economic and business sciences autonomous university of madrid
16010,robin marie grier,1,school of international and area studies
16011,azmat gani,1,department of economics and finance sultan qaboos university
16012,rachel m. gisselquist,1,world institute for development economic research (unu/wider) united nations university
16013,thomas gries,1,center for international economics department economics economics department of economics university paderborn
16014,mohammad osman gani,1,independent university bangladesh (independent university bangladesh)
16015,william gerard gissy,0,kazakhstan institute of management
16016,björn griesbach,0,schweizerische nationalbank (snb)
16017,bahodir ganiev,1,iqtisodiyot faculty toshkent xalqaro westminster university
16018,mwangi githinji,1,department of economics university of massachusetts-amherst
16019,ronald edward grieson,1,(25%) economics department university of california-santa cruz (ucsc)
16020,"gustavo ganiko, sr.",0,tax advice of the peru government of peru
16021,seth r. gitter,1,department of economics towson university
16022,roy h. grieve,1,economics department university of strathclyde
16023,alejandro jorge ganimian,1,(50%) kennedy school of government harvard university
16024,r. kaj gittings,1,department of economics texas tech university
16025,jim edward griffin,1,university of kent
16026,aytül ganioğlu,0,türkiye cumhuriyet merkez bankası
16027,maury gittleman,0,bureau of labor statistics department of labor government of the united states
16028,john griffin,1,economics department fordham university
16029,brenda gannon,1,school of economics university of queensland
16030,lara gitto,1,"(40%) center for international studies on economics and development (ceis) faculty of economics university of roma studies ""vergata"""
16031,naomi nakaguchi griffin,0,international monetary fund (imf)
16032,frederic john gannon,1,department of aes / economy university of havre
16033,simone gitto,1,"university of roma studies ""tor vergata"""
16034,terry wayne griffin,1,department of agricultural economics kansas state university
16035,joshua gans,1,(85%) rotman school of management university of toronto
16036,vincent gitz,0,food and agriculture organization (fao) united nations
16037,marnie griffith,1,centre of policy studies and impact project (cops) victoria university
16038,mattias ganslandt,0,institute for industrial research (ifn) (research institute of industrial economics)
16039,mara giua,1,(50%) department of economics university of rome studies three
16040,rachel griffith,0,(40%) institute for fiscal studies (ifs)
16041,maria gantner,0,center for economic research universiteit van tilburg
16042,gabriele giudice,0,directorate-general economic and financial affairs european commission
16043,charles griffiths,0,(96%) national center for environmental economics (ncee) environmental protection agency (epa) government of the united states
16044,juan-josé ganuza,1,department of economics and business university pompeu fabra barcelona graduate school of economics (barcelona gse)
16045,giudici,1,department of economics and business university of pavia studies
16046,david t. griffiths,0,department of the treasury government of the united states
16047,andrea ganzaroli,0,economy department
16048,antonio giuffrida,0,international bank for reconstruction & development (ibrd) world bank group
